key	EN	中文
Achievement_Xbox_Completed_01	Made 25 dialogue choices on Quests	在任务中做出了25个对话选择
Achievement_Xbox_Completed_02	Killed 10 Quest Bosses	消灭10个任务首领
Achievement_Xbox_Completed_03	Completed 10 Quests	完成10个任务
Achievement_Xbox_Completed_04	Completed 30 Quests	完成30个任务
Achievement_Xbox_Completed_05	Completed 60 Quests	完成60个任务
Achievement_Xbox_Completed_06	Completed 100 Quests	完成100个任务
Achievement_Xbox_Completed_07	Collected all Fragments of a Theme Recipe	收集了一个主题配方的所有碎片
Achievement_Xbox_Completed_08	Collected all Fragments of 4 Theme Recipes	收集了四个主题配方的所有碎片
Achievement_Xbox_Completed_09	Crafted every Theme	打造过所有主题
Achievement_Xbox_Completed_10	Killed 500 enemies on Quests	在任务中杀死了500名敌人
Achievement_Xbox_Completed_11	Collected 100 Stimpaks and 100 RadAway on Quests	在任务中收集了100个消辐宁和100个治疗针
Achievement_Xbox_Completed_12	Scrapped 500 items	拆解了500个物品
Achievement_Xbox_Completed_13	Crafted 10 Weapons	打造了10把武器
Achievement_Xbox_Completed_14	Crafted 10 Outfits	打造了10件装备
Achievement_Xbox_Completed_15	Crafted an Outfit, a Weapon and a Theme	打造了一件装备，一把武器和一个主题
Achievement_Xbox_Completed_16	Changed the appearance of 10 Dwellers in the Barbershop	在美发室里改变了10个居民的外形
Achievement_Xbox_Description_01	Make 25 dialogue choices on Quests	在任务中做出25个对话选择
Achievement_Xbox_Description_02	Kill 10 Quest Bosses	消灭10个任务首领
Achievement_Xbox_Description_03	Complete 10 Quests	完成10个任务
Achievement_Xbox_Description_04	Complete 30 Quests	完成30个任务
Achievement_Xbox_Description_05	Complete 60 Quests	完成60个任务
Achievement_Xbox_Description_06	Complete 100 Quests	完成100个任务
Achievement_Xbox_Description_07	Collect all Fragments of a Theme Recipe	收集一个主题配方的所有碎片
Achievement_Xbox_Description_08	Collect all Fragments of 4 Theme Recipes	收集四个主题配方的所有碎片
Achievement_Xbox_Description_09	Craft every Theme	打造所有主题
Achievement_Xbox_Description_10	Kill 500 enemies on Quests	在任务中杀死500名敌人
Achievement_Xbox_Description_11	Collect 100 Stimpaks and 100 RadAway on Quests	在任务中收集100个消辐宁和100个治疗针
Achievement_Xbox_Description_12	Scrap 500 items	拆解500个物品
Achievement_Xbox_Description_13	Craft 10 Weapons	打造10把武器
Achievement_Xbox_Description_14	Craft 10 Outfits	打造10件装备
Achievement_Xbox_Description_15	Craft an Outfit, a Weapon and a Theme	打造一件装备，一把武器和一个主题
Achievement_Xbox_Description_16	Change the appearance of 10 Dwellers in the Barbershop	在美发室里改变10个居民的外形
Achievement_Xbox_Name_01	Smooth Talker	能说会道
Achievement_Xbox_Name_02	You're Fired!	你被开除了！
Achievement_Xbox_Name_03	Wasteland Wanderer	废土漫步者
Achievement_Xbox_Name_04	Urban Ranger	城野游侠
Achievement_Xbox_Name_05	Survivalist	生存王者
Achievement_Xbox_Name_06	Legend of the Wastes	废土传说
Achievement_Xbox_Name_07	Paint 'n Elbow Grease	小小粉刷匠
Achievement_Xbox_Name_08	Decorator	装饰者
Achievement_Xbox_Name_09	Interior Designer	家装设计师
Achievement_Xbox_Name_10	Enemy of the Wastes	废土公敌
Achievement_Xbox_Name_11	Big Pharma	制药公司
Achievement_Xbox_Name_12	Scraptastic	动手达人
Achievement_Xbox_Name_13	Weaponsmith	武器匠人
Achievement_Xbox_Name_14	Fashionista	时尚潮人
Achievement_Xbox_Name_15	More Than Handy	不只是手巧
Achievement_Xbox_Name_16	A Little Off the Top	稍稍剪短点
ActivateRewards	ACTIVATE REWARDS	激活奖励
Age_Verification_Leaderboard_Popup	This feature is currently disabled due to your account settings. To access this feature, enable leaderboard data sharing in your privacy settings.	由于您的账户设置，此功能目前已被禁用。要使用此功能，请在隐私设置中开启排行榜数据共享。
Age_Verification_Under13_Popup	Because this account belongs to a user under 13, access to the game is not authorized. If you believe this is incorrect, please check your device's account settings or ask a parent or guardian for help.	由于此账户属于未满13岁的用户，您无权访问游戏。如果您认为此判定有误，请检查您设备的账户设置或向父母/监护人寻求帮助。
AlienDrone_GiveAway_Popup_Main	HERE'S AN EXTRATERRESTRIAL FRIEND TO CELEBRATE FALLOUT'S 25th ANNIVERSARY WITH! BUT WHERE DID IT COME FROM?	这个外星朋友将与您一起庆祝《辐射》25周年！但它到底是从哪儿来的？
AlienDrone_GiveAway_Popup_Title	ALIEN DRONE PET	外星无人机宠物
AlienDrone_campaign_Btn	NOT NOW	暂时不用
AlienDrone_campaign_ClaimedText	Your new pet can be found in your inventory. Thanks for playing Fallout Shelter.	您可以在仓库中找到新的宠物。感谢您游玩辐射避难所。
AlienDrone_campaign_Text	Vault-Tec is thankful for all the Overseers and wants to thank you with this free Alien Drone Pet!	避难所科技公司感谢所有监督者，决定用这个免费的外星无人机宠物来表示谢意！
AlienDrone_campaign_Title	Vault-Tec is thankful for all the Overseers and wants to thank you with this free Alien Drone Pet!	避难所科技公司感谢所有监督者，决定用这个免费的外星无人机宠物来表示谢意！
Alien_Name	Alien	外星人
Alien_Name_Plural	Aliens	外星人
AlreadyExists_VaultName	Vault name already exists.	避难所的名字已经存在。
AndroidShareViaKey	Share via	分享
Android_Ask_Notification_Message	Would you like Fallout Shelter to send you notifications?	您想要辐射避难所给您发送通知吗？
Android_Ask_Notification_No	No	否
Android_Ask_Notification_Title	Notifications	通知
Android_Ask_Notification_Yes	Yes	是
Android_PushNotification_Summary	Something happened in your Vault!	您的避难所有事情发生！
Armory_Upgrade_Info	Increases Perception training speed	加速观察力（P）的训练
